customer_id,order_id,order_date,product_category,product_price,quantity,discount_pct,channel,country,days_since_last_order,total_orders,total_revenue,converted
C00655,ORD000001,2023-02-27,electronics,372.07,2,0.09,referral,US,346,48,4461.98,1
C00433,ORD000002,2023-01-17,electronics,51.38,2,0.2,organic_search,DE,101,46,3252.92,0
C00226,ORD000003,2023-08-18,beauty,142.7,1,0.3,paid_search,FR,216,22,1396.58,1
C00782,ORD000004,2023-06-22,electronics,50.91,1,0.14,social,DE,135,3,3651.36,0
C00997,ORD000005,2023-07-13,electronics,278.26,5,0.35,social,DE,98,46,357.08,0
C00792,ORD000006,2023-05-29,electronics,428.38,1,0.15,email,FR,186,11,1857.2,1
C00274,ORD000007,2023-12-26,books,325.78,5,0.25,direct,FR,125,11,2316.68,1
C00948,ORD000008,2023-11-24,books,280.69,3,0.34,organic_search,UK,16,21,2011.81,1
C00936,ORD000009,2023-10-18,books,160.77,4,0.16,referral,AU,73,17,706.76,0
C00552,ORD000010,2023-05-15,books,294.37,5,0.16,paid_search,UK,260,32,463.64,1
C00113,ORD000011,2023-03-20,books,84.19,4,0.24,email,AU,305,30,2650.28,0
C00882,ORD000012,2023-01-06,books,361.76,5,0.3,referral,CA,57,19,2179.48,0
C00977,ORD000013,2023-05-15,beauty,382.17,5,0.37,referral,CA,327,33,3048.76,1
C00781,ORD000014,2023-03-24,beauty,476.98,5,0.37,direct,CA,250,2,568.22,1
C00852,ORD000015,2023-06-07,clothing,33.67,5,0.38,organic_search,FR,248,5,4890.14,0
C00129,ORD000016,2023-03-07,books,240.26,5,0.07,direct,DE,216,14,4645.28,0
C00707,ORD000017,2023-04-13,books,159.3,3,0.18,direct,AU,61,16,1131.24,0
C00603,ORD000018,2023-10-11,clothing,296.28,1,0.03,referral,US,117,5,4528.05,0
C00073,ORD000019,2023-09-21,clothing,142.85,4,0.09,paid_search,FR,292,37,2368.63,0
C00827,ORD000020,2023-07-28,clothing,51.69,4,0.14,email,AU,27,44,3270.74,1
C00063,ORD000021,2023-07-26,books,172.95,1,0.1,paid_search,DE,229,9,2115.19,1
C00256,ORD000022,2023-02-08,sports,404.97,5,0.04,referral,DE,7,6,4632.57,0
C00171,ORD000023,2023-07-28,sports,243.27,4,0.36,paid_search,AU,1,25,1333.36,0
C00466,ORD000024,2023-05-27,sports,349.81,5,0.26,email,UK,97,19,1096.33,1
C00754,ORD000025,2023-10-05,electronics,375.25,1,0.02,email,DE,271,11,293.83,0
C00872,ORD000026,2023-04-06,electronics,299.54,2,0.16,direct,UK,296,39,208.31,1
C00674,ORD000027,2023-10-26,beauty,263.78,3,0.08,referral,CA,122,17,1984.97,0
C00308,ORD000028,2023-08-23,home_garden,464.86,1,0.0,direct,DE,51,5,2692.8,0
C00136,ORD000029,2023-06-28,electronics,440.24,3,0.11,email,DE,360,20,3062.27,0
C00670,ORD000030,2023-09-28,electronics,335.59,5,0.12,referral,US,68,17,585.99,1
C00567,ORD000031,2023-03-21,home_garden,144.47,2,0.29,paid_search,FR,324,17,2531.99,1
C00930,ORD000032,2023-01-27,electronics,318.97,3,0.02,social,UK,326,17,816.29,0
C00723,ORD000033,2023-08-07,beauty,9.79,1,0.38,referral,UK,279,3,4174.63,0
C00152,ORD000034,2023-08-09,clothing,25.71,3,0.36,organic_search,CA,107,44,1255.15,1
C00799,ORD000035,2023-10-14,toys,206.16,5,0.3,paid_search,UK,90,27,133.68,0
C00341,ORD000036,2023-07-30,toys,336.6,2,0.11,referral,US,195,3,4294.38,1
C00837,ORD000037,2023-08-24,home_garden,156.07,2,0.09,referral,UK,204,22,1400.23,1
C00792,ORD000038,2023-05-23,home_garden,322.53,4,0.27,direct,CA,14,8,4386.42,1
C00595,ORD000039,2023-05-16,electronics,58.66,4,0.14,social,AU,310,33,587.07,0
C00195,ORD000040,2023-05-11,electronics,355.85,1,0.21,direct,FR,343,13,1827.47,1
C00681,ORD000041,2023-06-19,beauty,160.39,1,0.29,social,DE,158,43,2047.88,1
C00303,ORD000042,2023-10-11,clothing,99.96,4,0.27,paid_search,DE,291,20,2036.32,0
C00312,ORD000043,2023-05-27,clothing,217.79,5,0.24,social,AU,226,29,3381.38,1
C00813,ORD000044,2023-03-28,books,46.97,5,0.27,direct,CA,47,49,1181.99,1
C00826,ORD000045,2023-04-12,clothing,17.09,2,0.39,direct,US,233,27,4431.82,0
C00736,ORD000046,2023-12-23,sports,249.72,2,0.06,referral,US,54,50,2131.48,1
C00981,ORD000047,2023-12-23,beauty,234.95,5,0.1,organic_search,AU,68,30,3341.21,0
C00610,ORD000048,2023-06-12,toys,446.26,5,0.33,direct,AU,280,29,4487.07,0
C00487,ORD000049,2023-08-19,home_garden,377.13,3,0.31,direct,AU,320,16,1380.24,1
C00293,ORD000050,2023-05-01,home_garden,171.24,5,0.03,paid_search,UK,196,45,772.5,1
C00425,ORD000051,2023-07-28,home_garden,273.59,4,0.02,email,AU,299,45,107.46,0
C00590,ORD000052,2023-07-14,sports,7.92,3,0.12,email,AU,275,48,3675.82,0
C00920,ORD000053,2023-04-23,sports,113.61,4,0.19,email,CA,342,44,3992.73,0
C00861,ORD000054,2023-08-28,clothing,490.46,5,0.01,email,DE,288,43,145.24,1
C00139,ORD000055,2023-08-25,clothing,29.89,4,0.13,email,CA,172,49,4399.4,1
C00975,ORD000056,2023-08-04,home_garden,418.28,4,0.01,direct,US,179,15,3254.22,0
C00668,ORD000057,2023-01-21,toys,20.36,2,0.08,organic_search,DE,78,16,639.84,0
C00578,ORD000058,2023-04-22,sports,351.24,3,0.07,direct,FR,58,50,4098.31,0
C00111,ORD000059,2023-10-24,electronics,464.8,5,0.27,email,AU,101,5,2964.57,0
C00249,ORD000060,2023-02-22,books,387.38,5,0.32,direct,US,177,35,2147.61,1
C00519,ORD000061,2023-11-28,home_garden,11.26,4,0.33,organic_search,AU,185,41,4458.96,1
C00157,ORD000062,2023-08-11,clothing,368.23,3,0.25,direct,AU,238,28,4130.42,0
C00331,ORD000063,2023-05-06,toys,467.64,3,0.35,paid_search,AU,291,40,3344.26,1
C00507,ORD000064,2023-06-16,clothing,246.34,3,0.32,social,CA,305,45,4401.74,0
C00530,ORD000065,2023-04-08,electronics,124.47,4,0.2,paid_search,FR,243,42,3562.09,1
C00018,ORD000066,2023-02-17,home_garden,114.69,2,0.12,direct,CA,242,36,2659.3,1
C00764,ORD000067,2023-10-09,home_garden,179.15,4,0.11,social,UK,61,47,971.0,1
C00549,ORD000068,2023-12-20,clothing,99.81,4,0.11,direct,DE,305,19,4902.75,0
C00304,ORD000069,2023-04-27,home_garden,93.82,1,0.28,paid_search,CA,23,4,2771.26,0
C00130,ORD000070,2023-11-23,toys,377.63,1,0.35,direct,CA,240,31,2207.94,1
C00053,ORD000071,2023-05-10,toys,241.48,1,0.16,organic_search,DE,322,44,277.51,1
C00577,ORD000072,2023-06-05,electronics,496.99,1,0.22,email,DE,305,40,1136.18,1
C00462,ORD000073,2023-08-15,home_garden,430.78,4,0.12,direct,US,312,48,505.18,0
C00641,ORD000074,2023-04-19,home_garden,331.91,2,0.1,direct,US,80,1,2048.5,0
C00482,ORD000075,2023-05-30,electronics,119.58,3,0.28,email,US,351,15,4620.32,0
C00641,ORD000076,2023-10-29,books,402.93,2,0.17,direct,UK,331,10,4542.97,0
C00074,ORD000077,2023-01-31,clothing,397.35,5,0.3,direct,CA,224,8,2348.8,1
C00413,ORD000078,2023-05-20,beauty,272.29,4,0.03,organic_search,AU,165,39,1259.34,1
C00985,ORD000079,2023-12-12,toys,430.96,5,0.38,referral,CA,295,3,3817.91,1
C00532,ORD000080,2023-11-30,sports,458.46,2,0.4,email,FR,251,6,2355.35,1
C00329,ORD000081,2023-12-10,electronics,429.58,3,0.16,email,CA,339,26,4069.69,1
C00466,ORD000082,2023-02-15,home_garden,129.94,1,0.39,email,DE,0,43,4348.14,1
C00056,ORD000083,2023-04-07,beauty,184.08,4,0.25,organic_search,UK,136,36,663.76,1
C00902,ORD000084,2023-12-24,sports,65.11,5,0.32,referral,UK,159,36,78.24,1
C00231,ORD000085,2023-02-28,sports,473.8,2,0.2,referral,CA,260,46,1374.39,0
C00484,ORD000086,2023-05-05,sports,277.88,4,0.08,direct,DE,69,5,1388.47,0
C00425,ORD000087,2023-06-24,toys,256.33,1,0.11,social,DE,296,43,2453.31,1
C00552,ORD000088,2023-09-05,home_garden,169.56,5,0.15,social,UK,357,16,2863.27,1
C00795,ORD000089,2023-07-30,electronics,162.5,4,0.28,email,AU,339,42,4904.28,1
C00038,ORD000090,2023-03-06,beauty,482.85,3,0.35,email,US,269,30,86.58,1
C00892,ORD000091,2023-12-02,clothing,42.04,3,0.14,referral,AU,332,6,4260.31,0
C00880,ORD000092,2023-10-01,sports,477.3,4,0.35,organic_search,DE,35,16,3159.49,0
C00233,ORD000093,2023-02-16,sports,489.28,1,0.18,referral,CA,14,3,1628.63,1
C00368,ORD000094,2023-07-11,sports,77.06,5,0.16,referral,UK,87,12,404.05,0
C00635,ORD000095,2023-12-16,clothing,251.35,5,0.06,email,FR,130,30,1284.08,1
C00824,ORD000096,2023-08-27,home_garden,340.42,2,0.03,social,DE,153,41,4810.53,0
C00468,ORD000097,2023-06-04,clothing,499.69,4,0.04,email,DE,183,37,1486.4,0
C00023,ORD000098,2023-12-04,sports,140.87,5,0.35,referral,US,310,48,2488.67,0
C00294,ORD000099,2023-04-28,beauty,401.96,2,0.25,direct,CA,347,49,3607.43,0
C00859,ORD000100,2023-03-12,books,53.1,1,0.12,email,US,296,24,3664.48,1
C00303,ORD000101,2023-06-17,books,210.67,2,0.05,direct,CA,271,33,4568.3,0
C00264,ORD000102,2023-09-04,toys,151.1,3,0.32,email,US,72,49,4832.84,0
C00742,ORD000103,2023-12-12,sports,483.8,5,0.15,email,US,135,35,626.71,1
C00767,ORD000104,2023-12-11,home_garden,294.36,3,0.04,paid_search,AU,12,40,4422.33,0
C00938,ORD000105,2023-11-09,clothing,325.59,4,0.36,social,FR,209,8,707.49,0
C00312,ORD000106,2023-09-10,electronics,53.11,5,0.05,email,CA,343,48,3485.46,1
C00602,ORD000107,2023-03-21,sports,329.19,4,0.25,social,US,353,24,1094.18,1
C00242,ORD000108,2023-07-05,electronics,490.56,3,0.22,referral,CA,31,26,1386.65,0
C00972,ORD000109,2023-08-21,electronics,333.07,5,0.39,organic_search,CA,124,9,3937.02,1
C00850,ORD000110,2023-10-11,clothing,295.26,2,0.13,paid_search,DE,1,18,4293.45,1
C00134,ORD000111,2023-10-04,home_garden,400.26,1,0.26,organic_search,UK,7,23,3952.02,1
C00332,ORD000112,2023-01-09,clothing,136.36,2,0.3,direct,US,32,31,2246.89,1
C00608,ORD000113,2023-02-25,sports,254.4,5,0.02,referral,DE,154,30,3220.27,1
C00491,ORD000114,2023-07-25,sports,344.62,4,0.28,email,US,41,21,3045.4,1
C00282,ORD000115,2023-11-16,books,294.76,3,0.15,direct,DE,150,30,2532.7,1
C00813,ORD000116,2023-12-26,electronics,427.13,5,0.29,paid_search,AU,231,15,2074.93,0
C00409,ORD000117,2023-08-01,books,52.07,4,0.13,social,CA,78,44,4615.7,1
C00852,ORD000118,2023-02-13,electronics,218.78,3,0.32,direct,US,300,36,2812.8,0
C00421,ORD000119,2023-07-01,toys,334.34,4,0.35,referral,US,147,39,1569.12,1
C00520,ORD000120,2023-04-19,clothing,330.08,2,0.34,social,DE,188,8,3815.4,0
C00827,ORD000121,2023-08-08,toys,282.68,5,0.25,referral,DE,13,39,4646.13,0
C00274,ORD000122,2023-01-15,clothing,140.27,3,0.37,social,US,92,10,2835.94,0
C00146,ORD000123,2023-11-21,electronics,50.42,5,0.09,email,AU,174,11,1856.56,0
C00796,ORD000124,2023-10-18,beauty,47.05,1,0.06,direct,US,345,6,1367.79,0
C00498,ORD000125,2023-11-07,sports,210.02,2,0.3,organic_search,CA,220,8,1423.4,0
C00499,ORD000126,2023-09-27,books,157.67,2,0.16,direct,US,3,14,1514.08,1
C00141,ORD000127,2023-05-11,home_garden,167.42,1,0.2,email,UK,66,25,2667.59,1
C00573,ORD000128,2023-12-09,toys,180.31,4,0.34,organic_search,AU,9,30,4606.6,0
C00590,ORD000129,2023-08-08,beauty,205.19,4,0.12,email,US,166,11,4008.6,0
C00852,ORD000130,2023-12-20,home_garden,48.62,1,0.1,direct,AU,268,6,1984.88,0
C00348,ORD000131,2023-04-24,home_garden,390.66,1,0.2,organic_search,DE,261,13,4530.55,0
C00745,ORD000132,2023-11-27,toys,78.11,1,0.06,paid_search,UK,308,10,3803.47,0
C00182,ORD000133,2023-11-18,sports,234.66,5,0.3,email,FR,289,42,3180.14,1
C00885,ORD000134,2023-11-18,home_garden,79.72,1,0.19,referral,CA,140,38,290.3,0
